tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,store_and_fwd_flag,PULocationID,DOLocationID,fare_amount,tip_amount
01/01/2020 05:54:28 AM,01/01/2020 05:58:41 AM,1,0.6,No,170,137,4.5,0
01/01/2020 05:57:13 AM,01/01/2020 05:58:05 AM,1,0.11,No,260,260,2.5,0
01/01/2020 05:36:31 AM,01/01/2020 05:37:23 AM,3,0.18,No,141,141,3,0
01/01/2020 05:23:15 AM,01/01/2020 05:23:54 AM,2,0.09,No,114,114,2.5,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0.88,No,41,41,6,0
01/01/2020 05:13:39 AM,01/01/2020 05:24:26 AM,2,1.26,No,249,90,8.5,0
01/01/2020 05:18:16 AM,01/01/2020 05:18:42 AM,1,0.03,No,164,164,2.5,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,5,2.95,No,79,140,10.5,1
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,5,0.8,No,140,140,4.5,1
01/01/2020 09:44:29 AM,01/01/2020 09:44:36 AM,4,0,No,265,265,70,0
01/01/2020 05:44:29 AM,01/01/2020 05:47:34 AM,2,0.39,No,79,79,4,0
01/01/2020 05:42:44 AM,01/01/2020 05:44:24 AM,1,0.04,No,48,48,3,0
01/01/2020 05:21:30 AM,01/01/2020 05:29:12 AM,2,0.78,No,114,113,6.5,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,2.07,No,142,151,8.5,2.46
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,6,0.95,No,114,231,6,1.96
01/01/2020 05:21:10 AM,01/01/2020 05:22:39 AM,1,0.33,No,146,146,0,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0.62,No,239,239,4,2.34
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,1.02,No,236,236,5.5,1.86
01/01/2020 05:13:40 AM,01/01/2020 05:31:14 AM,2,2.41,No,246,249,13,0
01/01/2020 05:21:37 AM,01/01/2020 05:27:07 AM,3,0.72,No,68,113,5.5,0
01/01/2020 05:34:49 AM,01/01/2020 05:57:39 AM,2,2.93,No,142,164,16.5,0
01/01/2020 05:48:57 AM,01/01/2020 05:52:37 AM,1,0.2,No,141,141,4,0
01/01/2020 05:38:08 AM,01/01/2020 05:39:21 AM,1,0.09,No,237,237,3,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,2.35,No,249,170,10,2.76
01/01/2020 05:26:07 AM,01/01/2020 05:31:29 AM,1,0.91,No,234,114,5.5,0
01/01/2020 05:49:08 AM,01/01/2020 05:52:54 AM,1,0.02,No,164,164,4,0
01/01/2020 05:44:31 AM,01/01/2020 05:45:05 AM,1,0.06,No,68,90,2.5,0
01/01/2020 05:46:56 AM,01/01/2020 05:59:16 AM,1,2.33,No,87,249,10.5,0
01/01/2020 05:18:30 AM,01/01/2020 05:21:27 AM,1,0.25,No,107,164,4,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,2,0.17,No,162,163,-3,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,2,0.17,No,162,163,3,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,2.45,No,237,50,11.5,3.06
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,2,0.6,No,41,43,4.5,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,6,1.47,No,239,237,9,3.2
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,6,1.21,No,238,263,6.5,2.58
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,6,1.94,No,263,142,8,1
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,6,1.09,No,142,238,5.5,1.86
01/01/2020 05:30:31 AM,01/01/2020 05:30:46 AM,1,0.01,No,239,239,2.5,0
01/01/2020 05:18:58 AM,01/01/2020 05:30:53 AM,2,0.81,No,107,234,8.5,0
01/01/2020 05:58:01 AM,01/01/2020 06:02:39 AM,1,0.64,No,170,233,5,0
01/01/2020 05:10:44 AM,01/01/2020 05:18:38 AM,1,2.32,No,140,74,9,0
01/01/2020 05:10:30 AM,01/01/2020 05:24:14 AM,1,6.96,No,229,196,20,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0.55,No,237,163,4.5,2.49
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0.88,No,163,161,8,0
01/01/0001 12:00:00 AM,01/01/0001 12:00:00 AM,1,0.7,No,244,116,4.5,0
01/01/2020 05:28:04 AM,01/01/2020 05:34:33 AM,1,0.81,No,79,113,6,0
01/01/2020 05:40:30 AM,01/01/2020 05:45:02 AM,2,0.8,No,42,41,5.5,0
01/01/2020 05:08:13 AM,01/01/2020 05:08:27 AM,5,0,No,48,48,2.5,0
01/01/2020 05:26:04 AM,01/01/2020 05:27:18 AM,1,0,No,234,234,2.5,0
01/01/2020 05:55:09 AM,01/01/2020 05:59:11 AM,1,0.65,No,148,144,4.5,1.66
01/01/2020 05:01:42 AM,01/01/2020 05:05:13 AM,1,0.66,No,236,140,4.5,0
01/01/2020 05:48:19 AM,01/01/2020 06:01:58 AM,1,1.08,No,43,162,9,3.2
01/01/2020 05:35:41 AM,01/01/2020 05:46:53 AM,1,1.2,No,249,79,8.5,2.45
01/01/2020 05:50:28 AM,01/01/2020 05:50:34 AM,2,0,No,79,79,52,0
